# 수직 점프 (준비→도약→착지)  |  241 frames  |  DT=0.005s
frame	th1_deg	th2_deg	th3_deg	th4_deg
130	0.000000	-160.215420	-64.574559	74.789979
131	0.000000	-160.198325	-64.614323	74.812648
132	0.000000	-160.177837	-64.661987	74.839825
133	0.000000	-160.153733	-64.718077	74.871810
134	0.000000	-160.125811	-64.783069	74.908879
135	0.000000	-160.093887	-64.857395	74.951282
136	0.000000	-160.057800	-64.941440	74.999240
137	0.000000	-160.017410	-65.035544	75.052954
138	0.000000	-159.972593	-65.140004	75.112596
139	0.000000	-159.923248	-65.255070	75.178318
140	0.000000	-159.869292	-65.380952	75.250243
141	0.000000	-159.810661	-65.517816	75.328476
142	0.000000	-159.747309	-65.665788	75.413097
143	0.000000	-159.679209	-65.824954	75.504163
144	0.000000	-159.606350	-65.995360	75.601711
145	0.000000	-159.528740	-66.177016	75.705756
146	0.000000	-159.446402	-66.369894	75.816295
147	0.000000	-159.359373	-66.573931	75.933305
148	0.000000	-159.267709	-66.789032	76.056742
149	0.000000	-159.171478	-67.015069	76.186546
150	0.000000	-159.070760	-67.251882	76.322642
151	0.000000	-158.965652	-67.499283	76.464935
152	0.000000	-158.856259	-67.757058	76.613317
153	0.000000	-158.742700	-68.024965	76.767665
154	0.000000	-158.625104	-68.302738	76.927842
155	0.000000	-158.503610	-68.590088	77.093697
156	0.000000	-158.378364	-68.886706	77.265071
157	0.000000	-158.249524	-69.192264	77.441788
158	0.000000	-158.117252	-69.506413	77.623665
159	0.000000	-157.981719	-69.828791	77.810510
160	0.000000	-157.843101	-70.159019	78.002120
161	0.000000	-157.701580	-70.496705	78.198285
162	0.000000	-157.557341	-70.841447	78.398787
163	0.000000	-157.410574	-71.192829	78.603403
164	0.000000	-157.261472	-71.550428	78.811901
165	0.000000	-157.110232	-71.913814	79.024046
166	0.000000	-156.957049	-72.282549	79.239598
167	0.000000	-156.802124	-72.656188	79.458312
168	0.000000	-156.645656	-73.034286	79.679942
169	0.000000	-156.487845	-73.416390	79.904235
170	0.000000	-156.328890	-73.802049	80.130940
171	0.000000	-156.168991	-74.190809	80.359800
172	0.000000	-156.008345	-74.582215	80.590560
173	0.000000	-155.847148	-74.975814	80.822962
174	0.000000	-155.685595	-75.371154	81.056749
175	0.000000	-155.523876	-75.767786	81.291662
176	0.000000	-155.362182	-76.165262	81.527444
177	0.000000	-155.200698	-76.563140	81.763838
178	0.000000	-155.039606	-76.960982	82.000588
179	0.000000	-154.879086	-77.358353	82.237439
180	0.000000	-154.719313	-77.754826	82.474139
181	0.000000	-154.560459	-78.149978	82.710437
182	0.000000	-154.402688	-78.543395	82.946084
183	0.000000	-154.246165	-78.934668	83.180833
184	0.000000	-154.091047	-79.323396	83.414443
185	0.000000	-153.937487	-79.709187	83.646673
186	0.000000	-153.785632	-80.091655	83.877287
187	0.000000	-153.635626	-80.470425	84.106050
188	0.000000	-153.487606	-80.845130	84.332736
189	0.000000	-153.341705	-81.215413	84.557118
190	0.000000	-153.198050	-81.580927	84.778976
191	0.000000	-153.056762	-81.941333	84.998095
192	0.000000	-152.917959	-82.296305	85.214264
193	0.000000	-152.781750	-82.645526	85.427277
194	0.000000	-152.648241	-82.988692	85.636933
195	0.000000	-152.517532	-83.325507	85.843040
196	0.000000	-152.389717	-83.655690	86.045408
197	0.000000	-152.264884	-83.978970	86.243854
198	0.000000	-152.143115	-84.295089	86.438204
199	0.000000	-152.024488	-84.603800	86.628288
200	0.000000	-151.909075	-84.904871	86.813945
201	0.000000	-151.796940	-85.198081	86.995021
202	0.000000	-151.688144	-85.483224	87.171368
203	0.000000	-151.582741	-85.760107	87.342848
204	0.000000	-151.480780	-86.028551	87.509331
205	0.000000	-151.382303	-86.288391	87.670695
206	0.000000	-151.287348	-86.539479	87.826827
207	0.000000	-151.195946	-86.781679	87.977625
208	0.000000	-151.108121	-87.014872	88.122994
209	0.000000	-151.023895	-87.238955	88.262850
210	0.000000	-150.943281	-87.453841	88.397121
211	0.000000	-150.866286	-87.659459	88.525745
212	0.000000	-150.792912	-87.855756	88.648668
213	0.000000	-150.723156	-88.042697	88.765853
214	0.000000	-150.657006	-88.220265	88.877271
215	0.000000	-150.594447	-88.388459	88.982905
216	0.000000	-150.535455	-88.547300	89.082754
217	0.000000	-150.480000	-88.696827	89.176828
218	0.000000	-150.428048	-88.837101	89.265149
219	0.000000	-150.379555	-88.968201	89.347756
220	0.000000	-150.334470	-89.090230	89.424700
221	0.000000	-150.292738	-89.203310	89.496049
222	0.000000	-150.254294	-89.307589	89.561883
223	0.000000	-150.219067	-89.403235	89.622301
224	0.000000	-150.186975	-89.490441	89.677416
225	0.000000	-150.157932	-89.569426	89.727358
226	0.000000	-150.131842	-89.640432	89.772275
227	0.000000	-150.108600	-89.703730	89.812329
228	0.000000	-150.088091	-89.759614	89.847705
229	0.000000	-150.070193	-89.808408	89.878602
230	0.000000	-150.054774	-89.850465	89.905239
231	0.000000	-150.041689	-89.886166	89.927855
232	0.000000	-150.030788	-89.915922	89.946709
233	0.000000	-150.021904	-89.940174	89.962078
234	0.000000	-150.014864	-89.959398	89.974262
235	0.000000	-150.009482	-89.974099	89.983580
236	0.000000	-150.005558	-89.984817	89.990375
237	0.000000	-150.002882	-89.992126	89.995008
238	0.000000	-150.001231	-89.996636	89.997867
239	0.000000	-150.000370	-89.998990	89.999360
240	0.000000	-150.000047	-89.999872	89.999919
